Transaction,Stock,Date,Num_of_Stocks,Price,Commission,VAT,Other_Charges,DST/Sales_Tax
BUY,ABS,09/03/2011,200,45,22.5,2.7,1.35,
BUY,PAL,09/03/2011,1000,4.95,20,2.4,0.75,
BUY,SMC,09/03/2011,20,164.9,20,2.4,0.49,
BUY,EDC,23/03/2011,400,6.23,20,2.4,0.37,
BUY,SMC,23/03/2011,30,157.4,20,2.4,0.71,
BUY,EDC,05/07/2011,100,6.94,20,2.4,0.1,
BUY,APX,03/08/2011,1000,4.03,20,2.4,0.6,
BUY,LC,17/08/2011,3000,1.45,20,2.4,0.66,
BUY,PX,17/08/2011,100,28,20,2.4,0.42,
SELL,PAL,17/08/2011,1000,6.38,20,2.4,0.96,31.9
BUY,EDC,03/10/2011,200,5.51,20,2.4,0.17,
BUY,LC,03/10/2011,1000,1.2,20,2.4,0.18,
SELL,APX,21/11/2011,1000,4.8,20,2.4,0.72,24
SELL,LC,21/11/2011,1000,1.48,20,2.4,0.22,7.4
SELL,LC,23/11/2011,3000,1.53,20,2.4,0.69,22.95
BUY,PX,24/11/2011,200,22.65,20,2.4,0.68,
BUY,CEB,12/12/2011,90,67.6,20,2.4,0.91,
BUY,PCOR,07/02/2012,100,11.5,20,2.4,0.18,
BUY,SMC,07/02/2012,30,116.5,20,2.4,0.52,
SELL,CEB,07/02/2012,30,72.85,20,2.4,0.33,10.93
SELL,CEB,08/02/2012,60,75,20,2.4,0.68,22.5
BUY,LC,10/02/2012,4000,1.44,20,2.4,0.87,
BUY,AT,13/02/2012,300,17.82,20,2.4,0.8,
SELL,LC,13/02/2012,4000,1.58,20,2.4,0.95,31.6
BUY,AP,14/02/2012,200,28.8,20,2.4,0.87,
BUY,FLI,16/02/2012,1000,1.21,20,2.4,0.18,
BUY,LC,23/02/2012,2000,1.52,20,2.4,0.45,
SELL,AP,23/02/2012,200,30.35,20,2.4,0.91,30.35
SELL,AT,05/03/2012,300,18.3,20,0.82,27.45,
BUY,PGOLD,15/03/2012,400,20.3,20.3,1.22,,
SELL,PGOLD,16/03/2012,400,21.3,21.3,2.56,42.6,1.28
BUY,DIZ,19/03/2012,100,46.5,20,2.4,0.7,
SELL,FLI,20/03/2012,1000,1.32,20,2.4,0.2,6.6
BUY,JFC,11/04/2012,100,114.9,28.73,3.45,1.72,
SELL,DIZ,11/04/2012,100,48,20,2.4,0.72,24
SELL,PCOR,11/04/2012,100,10.62,20,2.4,0.16,5.31
SELL,PX,11/04/2012,300,20.65,20,2.4,0.93,30.98
BUY,LC,13/04/2012,4000,1.44,20,2.4,0.87,
BUY,JFC,19/04/2012,10,111.1,20,2.4,0.17,
BUY,LC,19/04/2012,5000,1.4,20,2.4,1.05,
SELL,ABS,19/04/2012,200,41.7,20,2.5,1.25,41.7
BUY,PXP,11/05/2012,200,24.8,20,0.75,,
SELL,EDC,18/05/2012,200,5.73,20,2.4,0.17,5.73
BUY,MEG,22/05/2012,2000,2.07,20,2.4,0.62,
BUY,PXP,22/05/2012,300,35,26.25,3.15,1.58,
SELL,EDC,22/05/2012,500,5.82,20,2.4,0.44,14.55
SELL,JFC,22/05/2012,110,110.5,30.39,3.65,1.83,60.78
BUY,PGOLD,28/05/2012,200,22.55,20,2.4,0.68,
SELL,MEG,28/05/2012,2000,1.92,29,2.4,0.57,19.2
BUY,PHN,05/06/2012,1700,11,46.75,5.61,2.81,
SELL,PXP,05/06/2012,500,36.75,45.94,5.51,"2,76",91.88
SELL,PGOLD,07/06/2012,200,24.95,20,2.4,0.75,24.95
BUY,CAL,08/06/2012,400,12.06,20,2.4,0.72,
BUY,URC,11/06/2012,320,64.6,51.68,6.2,3.1,
SELL,CAL,11/06/2012,400,13.12,20,2.4,0.78,26.24
SELL,LC,11/06/2012,"11,000",1.46,40.15,4.82,2.41,80.3
BUY,BEL,04/07/2012,100,5.25,20,7.65,0.08,
BUY,BEL,04/07/2012,3300,5.3,43.73,,2.62,
SELL,PHN,04/07/2012,1700,10.22,43.44,5.21,2.61,86.87
BUY,PX,07/09/2012,1100,17.2,47.3,5.68,2.84,
SELL,URC,07/09/2012,320,64,51.2,6.14,3.07,102.4
BUY,CAL,19/09/2012,200,6.89,20,2.4,0.21,
SELL,CAL,19/09/2012,200,6.5,20,2.4,0.2,6.5
SELL,PX,27/09/2012,1100,14.9,40.98,2.46,81.95,
BUY,SMC,28/09/2012,20,110.4,20,2.4,0.33,
BUY,ALI,03/10/2012,500,23.3,29.13,3.5,1.75,
BUY,PAL,04/10/2012,1000,5.45,20,4.8,0.82,
BUY,PAL,04/10/2012,800,5.3,20,,0.63,
BUY,PAL,17/10/2012,1800,5.62,25.29,3.03,1.52,50.58
BUY,ELI,19/10/2012,10000,0.92,23,2.76,1.38,
BUY,ELI,19/10/2012,10000,0.96,24,2.88,1.44,48
BUY,AAA,22/10/2012,1700,6,25.5,3.06,1.53,
SELL,AAA,22/10/2012,1700,5.76,24.48,2.94,1.47,48.96
BUY,PGOLD,30/10/2012,300,30.1,22.58,2.71,1.35,
BUY,BEL,06/12/2012,2000,4.98,24.9,2.99,1.5,
BUY,PX,10/01/2013,300,15.4,20,2.4,0.74,
BUY,MBT,05/02/2013,100,106,26.5,3.18,1.59,
SELL,BEL,22/04/2013,5400,6.45,87.08,10.45,5.22,174.15
SELL,ALI,24/04/2013,500,31.2,39,4.68,2.34,78
SELL,PGOLD,24/04/2013,300,38.75,29.06,3.49,1.74,58.13
SELL,PX,24/04/2013,300,16.56,20,2.4,0.75,24.84
SELL,MBT,28/06/2013,100,110.5,27.63,3.32,1.66,55.25
BUY,MBT,02/09/2013,100,81.5,20.38,2.45,1.23,
BUY,PGOLD,06/11/2013,100,45.55,20,2.4,0.69,
BUY,MBT,03/12/2013,80,78.5,20,,0.94,
BUY,MBT,08/01/2014,80,78.2,20,2.4,0.94,
BUY,SMC,12/03/2014,160,56.7,22.68,2.72,1.36,
SELL,SMC,24/03/2014,162,72,28.8,,1.73,57.6
BUY,MBT,25/03/2014,140,80,28,3.36,1.68,
BUY,PGOLD,16/05/2014,200,45.6,22.8,2.74,1.37,
BUY,PGOLD,20/05/2014,100,42.25,20,2.4,0.63,
BUY,PGOLD,21/05/2014,200,41.7,20.85,2.5,1.25,
SELL,SMC,21/05/2014,100,80.65,20.16,2.42,1.21,40.33
BUY,RWM,04/07/2014,1000,8.75,21.88,2.63,1.32,
SELL,MBT,08/07/2014,400,91,91,10.92,5.46,182
BUY,PGOLD,15/07/2014,800,42.7,85.5,10.26,5.13,
BUY,PGOLD,04/09/2014,200,35.8,20,2.4,1.08,
BUY,PGOLD,22/04/2015,300,39.3,29.48,3.54,1.77,
BUY,FGEN,01/09/2015,300,23.8,20,2.4,1.07,
BUY,PGOLD,01/09/2015,500,31.95,39.94,4.79,2.4,
BUY,TEL,01/09/2015,10,2448,61.2,7.34,3.67,
BUY,FGEN,23/09/2015,200,22.7,20,2.4,0.68,
BUY,TEL,23/09/2015,5,2262,28.28,3.39,1.7,
BUY,TEL,20/01/2016,5,1935,24.19,2.9,1.45,
BUY,TEL,18/05/2016,20,1725,86.25,10.35,5.18,
BUY,TEL,02/08/2016,5,1961,24.51,2.94,1.47,
BUY,RWM,03/10/2016,1000,3.24,20,2.4,0.48,
SELL,PGOLD,01/02/2017,800,43.8,87.6,10.51,5.25,-175.2
BUY,MEG,20/02/2017,3000,3.73,28.03,12.33,1.68,
BUY,MEG,20/02/2017,8000,3.74,74.75,,4.49,
SELL,PGOLD,20/02/2017,1600,44.8,179.2,21.5,10.75,-358.4
BUY,TEL,21/02/2017,45,1457,163.91,19.67,9.84,
BUY,FGEN,08/05/2017,400,21.5,21.5,2.58,1.29,
BUY,FGEN,28/06/2017,200,18.86,20,2.4,0.57,
BUY,FGEN,14/07/2017,600,18.78,28.17,3.38,1.69,
BUY,FGEN,06/09/2017,3000,17.1,128.25,15.39,7.7,
SELL,MEG,06/09/2017,11000,5.08,139.7,16.76,8.38,-279.4
